H_NIVO.NUM_POSTE;H_NIVO.ALTI_LPNX;H_NIVO.DAT
9023400;1500;2022-02-25 06:00:00
9023400;1500;2022-02-28 06:00:00
9023400;1500;2022-03-03 06:00:00
9023400;1500;2022-03-04 06:00:00
9023400;1500;2022-03-05 06:00:00
9023400;1500;2022-03-06 06:00:00
9023400;1500;2022-03-12 06:00:00
9023400;1500;2022-03-13 06:00:00
9023400;1500;2022-03-14 06:00:00
9023400;1500;2022-03-15 06:00:00
9023400;1500;2022-03-20 06:00:00
9032402;2400;2021-12-28 06:00:00
9032402;1200;2022-01-08 06:00:00
9032402;1400;2022-01-09 06:00:00
9032402;1700;2022-01-20 06:00:00
9032402;1715;2022-01-21 06:00:00
9032402;1400;2022-02-01 06:00:00
9032402;1500;2022-02-06 06:00:00
9032402;1800;2022-02-08 06:00:00
9032402;1000;2022-02-15 06:00:00
9032402;2000;2022-02-16 06:00:00
9032402;2000;2022-02-17 06:00:00
9032402;1200;2022-02-19 06:00:00
9032402;1500;2022-03-03 06:00:00
9032402;1400;2022-03-05 06:00:00
9032402;1715;2022-03-09 06:00:00
9032402;1400;2022-03-12 06:00:00
9032402;2500;2022-03-15 06:00:00
9032402;1400;2022-03-31 06:00:00
9032402;1400;2022-04-01 06:00:00
9032402;300;2022-04-02 06:00:00
9070400;1700;2021-12-06 06:00:00
9070400;1800;2021-12-07 06:00:00
